SNP	BETA1	LOG10PVAL1	BETA2	LOG10PVAL2	cfdr12	cfdr21	conj_fdr
rs5749498	-0.377837	16.7690991366607	-0.1373	4.42365864979421	2.23103330073834e-07	0.00891956691115036	0.00891956691115036
rs10738607	-0.0858533	5.52096051094032	-0.1544	31.9476909003527	0.0184206415301596	1.3024530223133e-08	0.0184206415301596
rs4977574	-0.0876299	5.85236077011016	-0.1548	32.6815192748255	0.0103714272939112	1.3024530223133e-08	0.0103714272939112
rs10738604	-0.0827108	4.80436875258266	0.1954	48.4051656444167	0.0290089133981256	1.3024530223133e-08	0.0290089133981256
rs4715210	-0.114886	5.86364096701326	0.0799	5.80994858224079	0.0101866383044769	0.000836807663951081	0.0101866383044769
rs10757272	-0.0842918	5.45571982359089	0.1545	32.0249820023671	0.0204033801203857	1.3024530223133e-08	0.0204033801203857
rs4977756	-0.079357	4.67905028542472	0.2436	73.5265130299354	0.0303644076895019	1.3024530223133e-08	0.0303644076895019
rs6729143	0.0930943	4.77865097643542	0.0735	6.30706499746886	0.0293409737634386	0.00033379278374039	0.0293409737634386
rs9288619	-0.123755	4.66091045586941	-0.0671	3.47703440450801	0.0304223369977639	0.0341169198072727	0.0341169198072727
rs10965219	-0.0738512	4.22027006665515	-0.2468	81.4103854593687	0.0489307733721605	1.3024530223133e-08	0.0489307733721605
rs11884770	0.103277	6.21692007503318	0.0669	4.91793306571489	0.0054157529957332	0.00404333023436107	0.0054157529957332
rs3217992	-0.089465	5.74663049007854	0.1882	46.41861931129	0.0120550246477199	1.3024530223133e-08	0.0120550246477199
rs1537375	-0.0828277	5.15370000864306	-0.1465	29.2560201347582	0.0235214757207207	1.3024530223133e-08	0.0235214757207207
rs11678528	0.0924695	4.7159890990094	0.0742	6.4091581652184	0.0300074667272279	0.000277239288623214	0.0300074667272279
rs1333048	-0.0873348	5.81450884162085	-0.1544	31.9442395353123	0.0109781638456933	1.3024530223133e-08	0.0109781638456933
rs2891168	-0.0870406	5.65160945501344	-0.1554	32.8968807464543	0.0143599230524224	1.3024530223133e-08	0.0143599230524224
rs7859581	-0.0827475	4.57746925185307	0.0526	3.68507994400758	0.0306888244708658	0.0237182930891914	0.0306888244708658
rs1033667	0.088668	4.84235891494074	-0.0633	4.9515581964496	0.0281526544777034	0.00382420056238247	0.0281526544777034
rs4420638	-0.294154	29.1552998318433	0.0632	3.44563199900991	2.23103330073834e-07	0.0362275342144015	0.0362275342144015
rs1333042	-0.0854551	5.43730990806386	-0.1508	30.8955128886876	0.0209250714776311	1.3024530223133e-08	0.0209250714776311
rs10769191	0.0915207	4.67036012229806	-0.0528	3.29567785917776	0.0303921594290732	0.0469635819222405	0.0469635819222405
rs943005	-0.114277	5.87360880838339	0.0785	5.64917072641703	0.010023349546446	0.0011208922136691	0.010023349546446
rs2383207	-0.0830035	5.2701001249435	-0.1442	28.3501785367754	0.0234574142633843	1.3024530223133e-08	0.0234574142633843
rs2075650	-0.280163	23.4964993972614	0.0756	4.25821830385683	2.23103330073834e-07	0.0110404066363962	0.0110404066363962
rs1412829	0.0755469	4.34881021102915	0.237	71.2078885909128	0.0416054397013409	1.3024530223133e-08	0.0416054397013409
rs756481	-0.378242	16.8233994674676	0.1328	4.21445663004341	2.23103330073834e-07	0.0117721823113391	0.0117721823113391
rs1547014	-0.0858151	4.91253093234946	-0.0673	5.78462684721658	0.0265711610057138	0.000873818542598226	0.0265711610057138
rs10811650	-0.0920497	6.14099026809455	-0.1802	43.1310030975129	0.00618577505579874	1.3024530223133e-08	0.00618577505579874
rs10757270	-0.0916189	6.066740042294	-0.1778	41.7375489102696	0.00697390919797118	1.3024530223133e-08	0.00697390919797118
rs12170368	-0.367007	15.814299227729	-0.1326	4.10138450258381	2.23103330073834e-07	0.0144078743784215	0.0144078743784215
rs987237	-0.114363	6.16100994378931	-0.0811	6.22098102808513	0.00598010236620733	0.000390215266514706	0.00598010236620733
rs6475606	-0.0785576	4.65473019883947	0.1585	34.2413151501176	0.0304420739026524	1.3024530223133e-08	0.0304420739026524
rs738722	-0.0876765	4.77688062810562	-0.0612	4.68172791978837	0.0293598030159287	0.00594058107779261	0.0293598030159287
rs944797	-0.0841611	5.4162901252984	-0.1434	28.0636873663378	0.0215207324073836	1.3024530223133e-08	0.0215207324073836
rs10120688	-0.0791641	4.87408953168589	0.2421	78.2787666299827	0.0274375117822555	1.3024530223133e-08	0.0274375117822555
rs10483727	0.0773863	4.56135957027588	0.171	38.1314731132318	0.0311039174054659	1.3024530223133e-08	0.0311039174054659
rs10116277	-0.0787746	4.67611085187078	0.1589	34.4201021303969	0.0303737946327881	1.3024530223133e-08	0.0303737946327881
rs1063192	-0.0797687	4.83918945037066	0.2497	80.2634441528374	0.0282240892962715	1.3024530223133e-08	0.0282240892962715
rs3218020	-0.0854124	5.02914008526185	0.192	45.9751040398925	0.0245470559670654	1.3024530223133e-08	0.0245470559670654
rs3857596	-0.115964	5.96202002981319	0.0791	5.69271795296665	0.00858130579132801	0.00103738502421911	0.00858130579132801
rs734597	-0.115323	5.90196921746212	0.0781	5.58302682739696	0.00955877004170332	0.00126828298464898	0.00955877004170332
rs7865618	-0.0762341	4.44642035756819	0.2574	84.4459956789881	0.0373867351881771	1.3024530223133e-08	0.0373867351881771
rs545226	0.0784274	4.41450994250379	-0.1698	38.1631697135111	0.0387658312060947	1.3024530223133e-08	0.0387658312060947
rs1537370	-0.0781781	4.61476920488779	0.1584	34.1668528880872	0.0305696951230487	1.3024530223133e-08	0.0305696951230487
