log	num_snps	h2_observed	h2_observed_se	h2_liability	h2_liability_se	mean_chisq	intercept	intercept_se	ratio	rg	rg_se	rg_z	rg_p	gencov_intercept	gencov_intercept_se	trait_a	trait_b	condition	fdr_bh
results/phase1/logs/rg.ADV_AMD__EARLY_AMD.full.log	1172447	0.3823	0.1734			1.1811	0.9253	0.0394		0.9587	0.0766	12.5236	5.5495e-36			ADV_AMD	EARLY_AMD	full	
results/phase1/logs/rg.ADV_AMD__EARLY_AMD.noMHC.log	1172447	0.3823	0.1734			1.1811	0.9253	0.0394		0.9587	0.0766	12.5236	5.5495e-36			ADV_AMD	EARLY_AMD	noMHC	1.8498333e-35
results/phase1/logs/rg.ADV_AMD__POAG.full.log	1172447	0.3807	0.1714			1.1795	0.9256	0.0378	0.0905	-0.1798	0.0665	-2.7041	0.0068			ADV_AMD	POAG	full	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC.log	1172447	0.3807	0.1714			1.1795	0.9256	0.0378	0.0905	-0.1798	0.0665	-2.7041	0.0068			ADV_AMD	POAG	noMHC	0.011333333
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_APOE.log	1171993	0.3868	0.171			1.1786	0.9211	0.0373	0.0893	-0.175	0.0636	-2.753	0.0059			ADV_AMD	POAG	noMHC_minus_APOE	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_ARMS2_HTRA1.log	1171260	0.3302	0.1649			1.1407	0.9153	0.0373	0.0904	-0.1906	0.0835	-2.2825	0.0225			ADV_AMD	POAG	noMHC_minus_ARMS2_HTRA1	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_CFH.log	1171291	0.2162	0.0517			1.1062	0.9628	0.017	0.0892	-0.2316	0.0549	-4.2185	2.4594e-05			ADV_AMD	POAG	noMHC_minus_CFH	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr1.log	1075383	0.219	0.0556			1.1096	0.9638	0.019	0.0893	-0.2209	0.058	-3.8097	0.0001			ADV_AMD	POAG	noMHC_minus_chr1	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr10.log	1109402	0.3403	0.1683			1.147	0.9149	0.0402	0.0955	-0.1945	0.0814	-2.3894	0.0169			ADV_AMD	POAG	noMHC_minus_chr10	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr11.log	1112124	0.3878	0.1786			1.1845	0.9275	0.0401	0.0966	-0.1725	0.0649	-2.6576	0.0079			ADV_AMD	POAG	noMHC_minus_chr11	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr12.log	1113579	0.3918	0.1777			1.1841	0.9244	0.0396	0.1058	-0.1795	0.0654	-2.7465	0.006			ADV_AMD	POAG	noMHC_minus_chr12	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr13.log	1127531	0.387	0.1764			1.1853	0.927	0.0391	0.0928	-0.1815	0.0669	-2.7149	0.0066			ADV_AMD	POAG	noMHC_minus_chr13	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr14.log	1133535	0.3787	0.176			1.1798	0.9263	0.0393	0.097	-0.1659	0.0627	-2.6454	0.0082			ADV_AMD	POAG	noMHC_minus_chr14	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr15.log	1137290	0.3794	0.1756			1.1793	0.9259	0.039	0.1016	-0.1879	0.0697	-2.696	0.007			ADV_AMD	POAG	noMHC_minus_chr15	
